name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
McDonnell F3H Demon,2720,NA,NA,10040,NA,20.066,4.44,17.98,15377,NA,NA,NA,NA,NA,NA,NA,65,10683,NA,NA,48.21,NA,NA,10.76,United States,1951,519,Retired
McDonnell FH Phantom,NA,399.11632,NA,3031,NA,12.7,4.32,11.35,4552,5459,770.87386,NA,NA,NA,NA,NA,21.5,12525,NA,NA,25.6,NA,NA,12.42,United States,1945,62,Retired
McDonnell XF-88,NA,NA,NA,5507,NA,20.066,5.26,16.51,NA,8392,NA,NA,NA,NA,NA,NA,41,12009,NA,NA,32.52,NA,NA,12.09,United States,1948,2,Abandoned
McDonnell XP-67,NA,NA,NA,8049,NA,37.083999999999996,4.8,13.65,10031,11521,NA,NA,1007,NA,NA,NA,12.7,11400,NA,NA,38.5,NA,NA,16.76,United States,1944,1,Abandoned
Messerschmitt Bf 109,249.929192,587.4091,NA,2673.017656,NA,NA,2.4384,8.8392,3147.92848,3399.67204,640.51732,NA,1084.9935,NA,NA,NA,16.9926,11999.976,NA,NA,16.1000899,NA,NA,9.7536,Germany - 3rd Reich,1935,33984,Retired
Messerschmitt Bf 110,NA,NA,NA,4500.086232,NA,NA,3.048,12.192,6700.007432,NA,560.0503199999999,NA,809.0845,NA,NA,6096,NA,10668,NA,NA,38.461842,NA,NA,16.154400000000003,Germany - 3rd Reich,1936,6170,Retired
Messerschmitt Me 210,NA,NA,NA,NA,NA,7.924799999999999,NA,NA,NA,NA,NA,NA,993.2724000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany - 3rd Reich,1939,90,Retired
Messerschmitt Me 263,NA,NA,NA,2104.6668799999998,NA,NA,NA,7.62,NA,5150.083568,885.137,NA,NA,NA,NA,NA,NA,13780.617600000001,NA,NA,17.79928577,NA,NA,9.4488,Germany - 3rd Reich,1945,3,Abandoned
Messerschmitt Me 310,NA,NA,NA,NA,NA,NA,4.2672,11.8872,11049.501119999999,NA,656.61072,NA,1379.545,NA,NA,NA,NA,10972.800000000001,NA,NA,37.718618,NA,NA,17.6784,Germany - 3rd Reich,1943,1,Abandoned
Messerschmitt Me 410,NA,NA,NA,6149.800336,NA,7.924799999999999,3.6576000000000004,12.192,NA,10759.655832,624.42392,NA,1287.0782000000002,NA,NA,NA,NA,9997.44,NA,NA,36.232169999999996,NA,NA,16.154400000000003,Germany - 3rd Reich,1942,1200,Retired
Mikoyan MiG-31,NA,NA,NA,21817.7752,NA,NA,6.4008,22.555200000000003,41004.7168,46221.0248,NA,NA,NA,NA,NA,NA,208.28,NA,NA,NA,61.594689,NA,NA,13.411200000000001,USSR,1975,500,Operational
Mikoyan MiG-35,NA,NA,NA,10999.606,NA,NA,4.572,17.0688,17508.6512,29710.275999999998,NA,NA,NA,NA,NA,NA,330.20000000000005,19001.232,NA,NA,37.997327,NA,NA,11.8872,Russia,2007,10,Prototype
Mikoyan Project 1.44,NA,NA,NA,18143.68,NA,NA,4.572,19.2024,28122.703999999998,34926.584,NA,17998.53056,NA,NA,NA,NA,NA,17068.8,NA,NA,NA,NA,NA,15.24,Russia,2e3,2,Abandoned
Mikoyan-Gurevich I-210,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1941,1,Abandoned
Mikoyan-Gurevich I-220,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1943,2,Abandoned
Mikoyan-Gurevich I-221,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1943,1,Abandoned
Mikoyan-Gurevich I-222,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1944,1,Abandoned
Mikoyan-Gurevich I-224,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1944,1,Abandoned
Mikoyan-Gurevich I-225,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1944,2,Abandoned
Mikoyan-Gurevich I-230,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1942,7,Abandoned
Mikoyan-Gurevich I-231,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1943,1,Abandoned
Mikoyan-Gurevich I-320,NA,NA,NA,7459.774032,NA,NA,NA,15.5448,10725.18284,12095.03068,NA,NA,NA,NA,NA,NA,NA,15499.994400000001,NA,NA,41.156029,NA,NA,14.020800000000001,USSR,1949,2,Abandoned
Mikoyan-Gurevich I-75,NA,NA,NA,8271.25012,NA,NA,NA,17.9832,10947.44292,11466.80576,NA,NA,NA,NA,NA,NA,NA,21000.72,NA,NA,31.865728999999998,NA,NA,9.7536,USSR,1958,2,Abandoned
Mikoyan-Gurevich MiG-1,NA,NA,NA,2601.803712,NA,NA,2.4384,7.9248,3098.940544,3318.932664,659.8294,NA,1006.695,NA,NA,NA,16.79448,11999.976,NA,NA,17.465764,NA,NA,10.0584,USSR,1940,103,Retired
Mikoyan-Gurevich MiG-15,NA,NA,NA,3679.991896,NA,NA,3.6576000000000004,10.0584,5069.797784,6104.441136,NA,NA,NA,NA,NA,NA,51.2064,15496.032000000001,NA,NA,20.5965951,NA,NA,10.0584,USSR,1947,18e3,Retired
Mikoyan-Gurevich MiG-17,249.4756,NA,NA,3919.03488,NA,NA,3.6576000000000004,11.277600000000001,5338.77784,6066.793,NA,NA,NA,NA,NA,NA,65.024,16596.36,NA,NA,22.6032999,NA,NA,9.4488,USSR,1950,10603,Retired
Mikoyan-Gurevich MiG-19,NA,NA,NA,5171.855984,NA,NA,3.6576000000000004,12.4968,7556.84272,8820.550032,NA,NA,NA,NA,NA,NA,177.8,17495.52,NA,NA,24.990907,NA,NA,8.8392,USSR,1953,2172,Retired
Mikoyan-Gurevich MiG-21,NA,NA,NA,5842.2649599999995,NA,NA,3.9624,14.630400000000002,8722.57416,9797.5872,NA,NA,NA,NA,NA,NA,224.94240000000002,17495.52,NA,NA,23.0027828,NA,NA,7.010400000000001,USSR,1955,11496,Operational
Mikoyan-Gurevich MiG-23,NA,NA,NA,9594.831576,NA,NA,4.572,15.5448,14696.380799999999,18029.828408,NA,NA,NA,NA,NA,NA,240.0046,18499.836,NA,NA,NA,NA,NA,NA,USSR,1967,5047,Operational
Mikoyan-Gurevich MiG-25,NA,NA,NA,19994.33536,NA,NA,6.096,19.5072,36719.179584,NA,NA,NA,NA,NA,NA,NA,208.026,20700.492000000002,NA,NA,61.40237979,NA,NA,13.716000000000001,USSR,1964,1190,Operational
Mikoyan-Gurevich MiG-3,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1940,3172,Retired
Mikoyan-Gurevich MiG-7,NA,NA,NA,2705.67628,NA,NA,3.048,8.2296,3363.38468,NA,NA,NA,1006.695,NA,NA,NA,NA,12009.12,NA,NA,17.465764,NA,NA,10.0584,USSR,1941,1,Abandoned
Mikoyan-Gurevich MiG-9,NA,NA,NA,3282.191712,NA,NA,3.048,9.7536,4857.97032,NA,NA,NA,NA,NA,NA,NA,21.9964,12996.672,NA,NA,18.1996977,NA,NA,9.7536,USSR,1946,598,Retired
Mikoyan-Gurevich SM-12,NA,NA,NA,5171.855984,NA,NA,3.6576000000000004,12.4968,7556.84272,8820.550032,NA,NA,NA,NA,NA,NA,177.8,17495.52,NA,NA,24.990907,NA,NA,8.8392,USSR,1957,3,Abandoned
Mikoyan-Gurevich Ye-8,NA,NA,NA,NA,NA,NA,NA,14.630400000000002,6800,8196.407439999999,NA,NA,NA,NA,NA,NA,NA,19994.88,NA,NA,23.132846999999998,NA,NA,7.010400000000001,USSR,1962,2,Abandoned
Miles M.20,NA,NA,NA,2685,NA,NA,3.81,9.35,NA,3629,NA,NA,940,NA,NA,NA,NA,1e4,NA,NA,21.74,NA,NA,10.54,United Kingdom,1940,2,Abandoned
Miles Master Fighter,NA,NA,NA,1947,NA,NA,2.82,8.99,NA,2528,NA,NA,623,NA,NA,NA,NA,7650,NA,NA,20.83,NA,NA,11.89,United Kingdom,1940,26,Retired
Mitsubishi 1MF,NA,NA,NA,940.296216,NA,NA,3.048,6.7056000000000004,1279.583032,NA,212.98000000000002,NA,223.71,NA,NA,NA,NA,7010.4000000000005,NA,NA,NA,NA,NA,8.2296,Japan,1921,138,Retired
Mitsubishi 1MF2,NA,NA,NA,940.296216,NA,NA,3.048,6.7056000000000004,1279.583032,NA,212.98000000000002,NA,223.71,NA,NA,NA,NA,7010.4000000000005,NA,NA,NA,NA,NA,8.2296,Japan,1928,2,Abandoned
Mitsubishi A5M,NA,NA,NA,1216.080152,NA,7.696199999999999,3.048,7.315200000000001,1705.052328,1822.079064,NA,NA,585.3745,NA,NA,NA,14.173200000000001,9799.32,NA,NA,17.8002148,NA,NA,10.972800000000001,Japan,1935,1094,Retired
Mitsubishi A6M Zero,NA,NA,NA,1680.104768,NA,NA,3.048,8.8392,2795.941088,NA,531.524,NA,700.9580000000001,NA,NA,NA,15.748000000000001,10000.488000000001,NA,NA,22.4360745,NA,NA,11.8872,Japan,1939,10939,Retired
Mitsubishi A7M,NA,416.70000000000005,NA,3225.946304,NA,NA,4.2672,10.972800000000001,4720.0783519999995,NA,627.828,NA,1640.54,NA,NA,NA,NA,11999.976,NA,NA,NA,NA,NA,13.716000000000001,Japan,1944,8,Abandoned
Mitsubishi F-1,NA,NA,NA,6357.999064,NA,19.9898,4.2672,17.6784,NA,13673.984432,NA,NA,NA,NA,NA,NA,177.8,15240,NA,NA,21.181884,NA,NA,7.62,Japan,1975,77,Retired
Mitsubishi F-2,NA,NA,NA,9525.432,NA,NA,4.572,15.24,14968.536,22089.9304,NA,NA,NA,NA,NA,NA,NA,17983.2,NA,NA,34.838625,NA,NA,10.972800000000001,"Japan, United States[note 10]",1995,98,Operational
Mitsubishi J2M,NA,NA,NA,2839.032328,NA,NA,3.9624,9.7536,3211.43136,NA,NA,NA,1379.545,NA,NA,NA,23.368000000000002,11430,NA,NA,20.067048,NA,NA,10.668000000000001,Japan,1942,621,Retired
Mitsubishi Ki-18,NA,NA,NA,1109.939624,NA,NA,3.048,7.62,1422.01092,NA,444.17784,NA,447.42,NA,NA,NA,12.954,NA,NA,NA,17.800493509,NA,NA,10.972800000000001,Japan,1935,1,Abandoned
Mitsubishi Ki-33,NA,NA,NA,1132.165632,NA,7.696199999999999,3.048,7.315200000000001,NA,1461.927016,474.7553,NA,555.5465,NA,NA,NA,14.020800000000001,NA,NA,NA,17.8002148,NA,NA,10.98804,Japan,1936,2,Abandoned
Morane-Saulnier AC,NA,NA,NA,434.087544,656.801216,NA,2.4384,7.010400000000001,NA,NA,178.63674,NA,82.027,NA,NA,NA,5.588,5599.176,NA,NA,15.00011838,NA,NA,9.7536,France,1916,32,Retired
Morane-Saulnier AF,NA,NA,NA,420.933376,649.090152,NA,2.1336,4.8768,NA,NA,207.60486,NA,111.855,NA,NA,NA,8.3312,NA,NA,NA,15.3104144,NA,NA,7.315200000000001,France,1917,1,Abandoned
Morane-Saulnier AI,NA,NA,NA,420.026192,647.729376,NA,2.1336,5.486400000000001,NA,NA,225.3076,NA,111.855,NA,NA,NA,NA,6999.732,NA,NA,13.3873223,NA,NA,8.2296,France,1917,1210,Retired
Morane-Saulnier I,NA,NA,NA,333.843712,509.837408,NA,2.4384,5.7912,NA,NA,167.37136,NA,82.027,NA,NA,NA,NA,4700.0160000000005,NA,NA,10.9997152,NA,NA,8.2296,France,1916,4,Retired
Morane-Saulnier M.S.225,NA,NA,NA,1153.938048,NA,NA,3.048,7.010400000000001,1589.83996,NA,NA,NA,372.85,NA,NA,NA,NA,NA,NA,NA,17.1963453,NA,NA,10.3632,France,1932,75,Retired
Morane-Saulnier M.S.325,NA,NA,NA,1353.97212,NA,NA,3.6576000000000004,8.2296,1788.966848,NA,NA,NA,484.70500000000004,NA,NA,NA,NA,NA,NA,NA,19.72981011,NA,NA,11.5824,France,1933,1,Abandoned
Morane-Saulnier M.S.405,NA,NA,NA,1892.839416,NA,NA,2.4384,7.9248,2425.810016,NA,487.63002,NA,641.302,NA,NA,NA,13.004800000000001,NA,NA,NA,17.09972618,NA,NA,10.3632,France,1935,18,Abandoned
Morane-Saulnier M.S.406,NA,NA,NA,1892.839416,NA,NA,2.4384,7.9248,2425.810016,NA,487.63002,NA,641.302,NA,NA,NA,13.004800000000001,NA,NA,NA,17.09972618,NA,NA,10.3632,France,1935,1094,Retired
Morane-Saulnier M.S.410,NA,NA,NA,1892.839416,NA,NA,2.4384,7.9248,2425.810016,NA,487.63002,NA,641.302,NA,NA,NA,13.004800000000001,NA,NA,NA,17.09972618,NA,NA,10.3632,France,1940,74,Retired
Morane-Saulnier N,NA,NA,NA,287.123736,NA,7.7,2.1336,5.7912,442.705792,NA,144.8406,NA,59.656000000000006,NA,NA,NA,NA,3999.8904000000002,NA,NA,10.9997152,NA,NA,7.9248,France,1915,49,Retired
Morane-Saulnier V,NA,NA,NA,NA,NA,NA,NA,5.7912,NA,NA,164.15268,NA,82.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5344,France,1916,30,Retired
Nakajima A2N,NA,NA,NA,1045.075968,NA,7.696199999999999,2.7432000000000003,6.096,1549.923864,NA,NA,NA,432.50600000000003,NA,NA,NA,NA,8991.6,NA,NA,19.7418875,NA,NA,9.144,Japan,1929,100,Retired
Nakajima A4N,NA,NA,NA,1275.9542959999999,NA,NA,3.048,6.4008,1759.93696,NA,NA,NA,544.361,NA,NA,NA,NA,7739.7864,NA,NA,NA,NA,NA,9.7536,Japan,1934,221,Retired
Nakajima Army Type 91 Fighter,NA,NA,NA,1075.01304,NA,NA,2.7432000000000003,7.010400000000001,1529.965816,NA,300.024,NA,387.764,NA,NA,NA,NA,8991.6,NA,NA,20.00015784,NA,NA,10.972800000000001,Japan,1928,450,Retired
Nakajima J5N,249.929192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,1944,6,Abandoned
Nakajima Ki-11,NA,NA,NA,1269.150416,1560.35648,NA,3.048,6.7056000000000004,NA,NA,421.64708,NA,410.135,NA,NA,NA,NA,NA,NA,NA,19.1008568,NA,NA,10.668000000000001,Japan,1934,4,Abandoned
Nakajima Ki-12 & PE,NA,NA,NA,1399.784912,1900.096888,NA,3.3528000000000002,8.2296,NA,NA,482.802,NA,454.877,NA,NA,NA,NA,10363.2,NA,NA,17.001249,NA,NA,10.972800000000001,Japan,1936,2,Abandoned
Nakajima Ki-27,NA,350.83612,NA,1173.896096,NA,NA,3.048,7.315200000000001,1598.004616,1789.874032,469.92728,NA,NA,NA,NA,NA,15.2908,10040.112000000001,NA,NA,18.559882630999997,NA,NA,11.277600000000001,Japan,1936,3368,Retired
Nakajima Ki-43 Hayabusa,249.929192,NA,NA,1910.075912,NA,12.7,3.048,8.8392,2590.01032,2925.6684,NA,NA,857.5550000000001,NA,NA,NA,NA,11201.400000000001,NA,NA,21.4048512,NA,NA,10.668000000000001,Japan,1938,5919,Retired
Nakajima Ki-8,NA,NA,NA,1524.976304,2111.017168,NA,3.3528000000000002,7.9248,NA,NA,328.30536,NA,410.135,NA,NA,NA,NA,8759.952000000001,NA,NA,28.500782339999997,NA,NA,12.8016,Japan,1934,5,Abandoned
Nakajima Ki-84 Hayate,NA,NA,NA,2659.863488,NA,NA,3.3528000000000002,9.7536,3601.52048,4170.324848,584.19042,NA,1469.029,NA,NA,NA,21.844,11826.24,NA,NA,20.999887023,NA,NA,10.972800000000001,Japan,1943,3514,Retired
Nakajima Ki-87,249.4756,470.408,NA,4387.141824,NA,29.971999999999998,4.2672,11.5824,5631.798272,6099.905216,701.908,NA,NA,NA,NA,NA,NA,12854.94,NA,NA,25.99983358,NA,NA,13.411200000000001,Japan,1945,1,Abandoned
Nakajima Kikka,499.858384,NA,NA,2300.165032,NA,NA,2.7432000000000003,7.9248,3499.915872,4080.06004,695.23488,NA,NA,NA,NA,NA,6.41096,11999.976,NA,NA,13.192226,NA,NA,9.7536,Japan,1945,2,Abandoned
Nielsen & Winther Type AA,NA,NA,NA,350.173024,549.753504,NA,2.7432000000000003,6.4008,NA,NA,149.66862,NA,67.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,Denmark,1917,6,Retired
Nieuport 10,NA,NA,NA,410.50076,NA,NA,2.4384,7.010400000000001,657.7084,NA,NA,NA,59.656000000000006,NA,NA,NA,2.0828,4572,NA,NA,18.004601400000002,NA,NA,7.9248,France,1914,300,Retired
"Nieuport 17, 21 & 23",NA,NA,NA,374.2134,NA,NA,2.1336,5.7912,558.825344,NA,177.792,NA,82.027,NA,NA,NA,NA,5300.472000000001,NA,NA,14.7529964,NA,NA,7.9248,France,1916,4e3,Retired
Nieuport 28,NA,NA,NA,556.557384,NA,NA,2.4384,6.4008,741.62292,NA,197.94882,NA,119.31200000000001,NA,NA,2999.232,NA,5300.472000000001,NA,NA,15.700607,NA,NA,7.9248,France,1917,300,Retired
Nieuport-Delage NiD 29,NA,NA,NA,759.7666,1149.85572,NA,2.4384,6.4008,NA,NA,234.96364,NA,223.71,NA,NA,NA,6.0668408000000005,8499.348,NA,NA,26.70125123,NA,NA,9.4488,France,1918,1571,Retired
Nieuport-Delage NiD 42,NA,NA,NA,1260.98576,1813.460816,NA,2.7432000000000003,7.315200000000001,NA,NA,265.5411,NA,335.565,NA,NA,NA,3.8451536,7315.200000000001,NA,NA,30.843796,NA,NA,11.8872,France,1924,31,Retired
Nieuport-Delage NiD 52,NA,NA,NA,1359.868816,NA,NA,2.7432000000000003,7.62,NA,NA,NA,NA,372.85,NA,NA,NA,NA,NA,NA,NA,27.777997,NA,NA,11.8872,France,1927,135,Retired
Nieuport-Delage NiD 62,NA,NA,NA,1324.035048,NA,7.696199999999999,2.7432000000000003,7.62,1830.697312,1880.13884,NA,NA,372.85,NA,NA,NA,NA,7711.4400000000005,NA,NA,NA,NA,NA,11.8872,France,1928,322,Retired
Nieuport-Delage NiD 622,NA,NA,NA,1324.035048,NA,7.696199999999999,2.7432000000000003,7.62,1830.697312,1880.13884,NA,NA,372.85,NA,NA,NA,NA,7711.4400000000005,NA,NA,NA,NA,NA,11.8872,France,1930,314,Retired
Nieuport-Delage NiD 629,NA,NA,NA,1324.035048,NA,7.696199999999999,2.7432000000000003,7.62,1830.697312,1880.13884,NA,NA,372.85,NA,NA,NA,NA,7711.4400000000005,NA,NA,NA,NA,NA,11.8872,France,1932,50,Retired
Nieuport-Delage NiD 72,NA,NA,NA,1359.868816,NA,NA,2.7432000000000003,7.62,NA,NA,NA,NA,372.85,NA,NA,NA,NA,NA,NA,NA,27.777997,NA,NA,11.8872,France,1928,8,Retired
Nieuport-Delage NiD 82,NA,NA,NA,1359.868816,NA,NA,2.7432000000000003,7.62,NA,NA,NA,NA,372.85,NA,NA,NA,NA,NA,NA,NA,27.777997,NA,NA,11.8872,France,1930,1,Abandoned
North American F-100 Super Sabre,3190,NA,NA,9500,NA,19.9898,4.95,15.2,13085,15800,1390.46976,NA,NA,NA,NA,NA,114,15e3,NA,NA,37,NA,NA,11.81,United States,1953,2294,Retired
North American F-107,4500,NA,NA,10295,NA,NA,5.89,18.85,18033,18841,NA,NA,NA,NA,NA,NA,203,16220,NA,NA,35,NA,NA,11.15,United States,1956,3,Abandoned
North American FJ-1 Fury,NA,NA,NA,4010,NA,12.7,4.52,10.48,6854,NA,880,NA,NA,NA,NA,NA,NA,9753,NA,NA,20.5,NA,NA,11.63,United States,1946,31,Retired
North American FJ-2/-3 Fury,NA,NA,NA,5353,NA,19.9898,4.14,11.45,NA,8523,1088,NA,NA,NA,NA,NA,NA,14300,NA,NA,26.7,NA,NA,11.31,United States,1951,741,Retired
North American FJ-4 Fury,1400,NA,NA,6e3,NA,19.9898,4.2,11.1,9200,10750,1094,NA,NA,NA,NA,NA,NA,14300,NA,NA,31.46,NA,NA,11.9,United States,1954,374,Retired
North American NA-50 & P-64,NA,NA,NA,2114,NA,NA,5.99,8.23,2717,3080,NA,NA,708,NA,NA,NA,NA,8400,NA,NA,NA,NA,NA,11.35,United States,1939,13,Retired
North American P-51 Mustang,NA,583.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,1940,16766,Retired
North American P-82/F-82 Twin Mustang,NA,461.148,NA,7256,NA,12.7,4.22,12.93,NA,11608,742.652,NA,1193,NA,NA,NA,NA,11855,NA,NA,37.9,NA,NA,15.62,United States,1945,270,Retired
North American/Canadair/CAC F-86 Sabre,2400,NA,NA,5046,NA,12.7,4.5,11.4,6894,8234,1106,NA,NA,NA,NA,NA,45.72,15100,NA,NA,29.11,NA,NA,11.3,United States,1947,9860,Retired
Northrop F-20 Tigershark,NA,NA,NA,5964,NA,20.066,4.2,14.4,7021,12474,NA,NA,NA,NA,NA,NA,255,16800,NA,NA,18.6,NA,NA,7.9248,United States,1982,3,Abandoned
Northrop F-5,NA,NA,NA,4349,NA,19.9898,4.08,14.45,7157,11214,NA,NA,NA,NA,NA,NA,175,15800,NA,NA,17.28,NA,NA,8.13,United States,1959,2246,Operational
Northrop F-89 Scorpion,1500,NA,NA,11428,NA,NA,5.33,16.4,16869,19161,NA,NA,NA,NA,NA,NA,37.8,15e3,NA,NA,56.3,NA,NA,18.2,United States,1948,1050,Retired
Northrop P-61 Black Widow,NA,NA,NA,10637,NA,NA,4.47,15.11,13471,16420,588.936,NA,1680,NA,NA,NA,12.9,10600,NA,NA,61.53,NA,NA,20.12,United States,1942,742,Retired
Northrop XFT,NA,NA,NA,1120,NA,NA,2.87,6.68,1704,1816,377.808,NA,466,NA,NA,NA,NA,8075,NA,NA,16.4,NA,NA,9.75,United States,1933,1,Abandoned
Northrop XP-56 Black Bullet,NA,NA,NA,3955,NA,NA,3.35,8.38,5159,5520,749,NA,1492,NA,NA,NA,NA,10061,NA,NA,28.44,NA,NA,12.96,United States,1943,2,Abandoned
Northrop YF-17,NA,NA,NA,NA,NA,20.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,1974,2,Abandoned
Northrop YF-23,NA,NA,NA,13100,NA,NA,4.3,20.6,23327,29e3,NA,NA,NA,NA,NA,NA,NA,19800,NA,NA,88,NA,NA,13.3,United States,1990,2,Abandoned
Oeffag D.III,NA,NA,NA,694.902944,NA,NA,2.7432000000000003,7.315200000000001,884.050808,954.81116,174.08800000000002,NA,126.769,NA,NA,NA,4.50088,5499.8112,NA,NA,23.597362,NA,NA,8.8392,Austro-Hungarian Empire,1917,526,Retired
Packard-Le Peré LUSAC-11 & LUSAC-21,NA,NA,NA,1162,NA,NA,3.22,7.69,1669,NA,NA,NA,317,NA,NA,NA,NA,6157,NA,NA,68.6,NA,NA,12.67,United States,1918,30,Retired
Panavia Tornado ADV,NA,NA,NA,14501.33624,NA,NA,5.7912,18.5928,NA,27986.6264,NA,NA,NA,NA,NA,NA,NA,15240,NA,NA,NA,NA,NA,NA,United Kingdom,1979,218,Retired
Parnall Pipit,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,1928,2,Abandoned
Parnall Plover,NA,NA,NA,923,NA,NA,3.65,7,1354,NA,228.52627999999999,NA,325,NA,NA,NA,NA,7e3,NA,NA,28.4,NA,NA,8.84,United Kingdom,1922,13,Retired
Pashinin I-21,NA,NA,NA,NA,NA,NA,NA,8.5344,NA,NA,579.3624,NA,782.985,NA,NA,NA,20.99564,10599.7248,NA,NA,4.72504658,NA,NA,9.144,USSR,1940,3,Abandoned
Pemberton-Billing P.B.9,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,126,NA,37,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,7.93,United Kingdom,1914,1,Abandoned
Pfalz D.VIII,NA,NA,NA,542.0424399999999,NA,7.874,2.7432000000000003,5.486400000000001,736.633408,NA,NA,NA,119.31200000000001,NA,NA,NA,NA,NA,NA,NA,17.279958,NA,NA,7.315200000000001,German Empire,1918,40,Retired
Piaggio P.2,NA,NA,NA,866.814312,1182.060752,NA,2.1336,6.7056000000000004,NA,NA,233.3543,NA,223.71,NA,NA,NA,NA,NA,NA,NA,20.08098345,NA,NA,10.3632,Italy,1923,2,Abandoned
Podlaska Wytwórnia Samolotów PWS-10,NA,214.525022,NA,1110.6653712,NA,NA,3.048,7.62,1496.8536,1546.74872,239.469792,NA,NA,NA,NA,NA,NA,5900.0136,NA,NA,NA,NA,NA,10.0584,Poland,1930,80,Retired
Polikarpov I-1,NA,NA,NA,NA,1510.007768,NA,NA,8.2296,NA,NA,263.93176,NA,298.28000000000003,NA,NA,NA,NA,6751.320000000001,NA,NA,19.974145,NA,NA,10.668000000000001,USSR,1923,18,Abandoned
Polikarpov I-15,NA,NA,NA,1011.963752,NA,NA,2.1336,6.096,1415.20704,NA,NA,NA,352.71610000000004,NA,NA,NA,7.5692,7254.240000000001,NA,NA,21.925108,NA,NA,9.7536,USSR,1933,671,Retired
Polikarpov I-152,NA,NA,NA,1011.963752,NA,NA,2.1336,6.096,1415.20704,NA,NA,NA,352.71610000000004,NA,NA,NA,7.5692,7254.240000000001,NA,NA,21.925108,NA,NA,9.7536,USSR,1938,3,Abandoned
Polikarpov I-153,NA,NA,NA,1451.9479919999999,NA,NA,2.7432000000000003,6.096,1914.611832,3017.293984,NA,NA,596.5600000000001,NA,NA,NA,15.1638,10700.004,NA,NA,22.1387849,NA,NA,9.7536,USSR,1938,3437,Retired
Polikarpov I-15bis,NA,NA,NA,1011.963752,NA,NA,2.1336,6.096,1415.20704,NA,NA,NA,352.71610000000004,NA,NA,NA,7.5692,7254.240000000001,NA,NA,21.925108,NA,NA,9.7536,USSR,1937,2408,Retired
Polikarpov I-16,NA,NA,NA,1490.04972,NA,NA,3.048,6.096,1940.9201679999999,2095.141448,524.116,NA,820.27,NA,NA,NA,14.732000000000001,9700.26,NA,NA,14.5021583,NA,NA,8.8392,USSR,1933,8644,Retired
Polikarpov I-17,NA,NA,NA,NA,1927.766,NA,2.4384,7.010400000000001,NA,NA,490.8487,NA,641.302,NA,NA,NA,NA,11000.232,NA,NA,NA,NA,NA,10.0584,USSR,1934,3,Abandoned
