name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
Fiat G.55/G.56/G.59,NA,NA,NA,2629.926416,NA,NA,NA,9.144,3519.87392,3718.093624,671,NA,NA,NA,NA,NA,NA,12749.784000000001,NA,NA,21.11034869,NA,NA,11.5824,Italy,1942,349,Retired
Fisher P-75 Eagle,NA,NA,NA,5214,NA,NA,4.72,12.32,8808,8260,697,NA,2150,NA,NA,NA,21.3,11100,NA,NA,32.24,NA,NA,15.04,United States,1943,13,Abandoned
Focke-Wulf Fw 159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany - 3rd Reich,1935,2,Abandoned
Focke-Wulf Fw 57,NA,NA,NA,6799.797672,NA,50.8,3.9624,16.154400000000003,8299.826416,NA,NA,NA,678.587,NA,NA,NA,NA,9099.804,NA,NA,73.50020845,NA,NA,24.9936,Germany - 3rd Reich,1936,3,Abandoned
Focke-Wulf Ta 152,NA,NA,NA,3919.03488,NA,NA,3.9624,10.668000000000001,4749.10824,NA,759.60848,NA,NA,NA,NA,NA,19.99996,15099.792000000001,NA,NA,23.504459,NA,NA,14.325600000000001,Germany - 3rd Reich,1944,49,Retired
Fokker D.I,NA,NA,NA,462.66384,NA,NA,2.4384,6.096,669.955384,NA,150.012,NA,89.48400000000001,NA,NA,NA,3.3324800000000003,NA,NA,NA,20.0020159,NA,NA,8.8392,German Empire,1916,144,Retired
Fokker D.II,NA,NA,NA,384.192424,575.154656,NA,2.4384,6.4008,NA,NA,149.66862,NA,74.57000000000001,NA,NA,NA,4.1656,4000.5,NA,NA,18.023182,NA,NA,8.5344,German Empire,1916,177,Retired
Fokker D.III,NA,NA,NA,430.005216,709.87148,NA,2.4384,6.096,NA,NA,160.934,NA,119.31200000000001,NA,NA,NA,4.7752,4700.0160000000005,NA,NA,19.974145,NA,NA,8.8392,German Empire,1916,210,Retired
Fokker D.IV,NA,NA,NA,598.74144,838.238016,NA,2.4384,6.4008,NA,NA,NA,NA,119.31200000000001,NA,NA,NA,NA,NA,NA,NA,20.996078,NA,NA,9.4488,German Empire,1916,44,Retired
Fokker D.V,NA,NA,NA,362.8736,566.082816,NA,2.1336,5.7912,NA,NA,170.59004,NA,82.027,NA,NA,NA,2.6416,3899.916,NA,NA,15.514801,NA,NA,8.5344,German Empire,1916,216,Retired
Fokker D.VI,NA,NA,NA,392.810672,585.13368,NA,2.4384,6.096,NA,NA,197.94882,NA,82.027,NA,NA,NA,NA,5998.464,NA,NA,17.65157,NA,NA,7.62,German Empire,1918,59,Retired
Fokker D.X,NA,NA,NA,NA,NA,NA,2.7432000000000003,7.9248,NA,1247.378,224.092,NA,223.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716000000000001,Netherlands,1918,11,Retired
Fokker D.XI/PW-7,NA,NA,NA,864.999944,1250.099552,NA,3.048,3.3528000000000002,NA,NA,225.3076,NA,223.71,NA,NA,NA,NA,6999.732,NA,NA,21.80061798,NA,NA,11.5824,Netherlands,1923,117,Retired
